sampleName,cellLine,numberCells,technique,ip,patientID,sampleID,condition,experimentName,technicalReplicate,genome,unmappedBam
CLL_ATAC-seq_4747_1-5-64839_ATAC36-6_1_hg19,CLL,,ATAC-seq,,4747,1-5-64839,,ATAC36-6,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_6_samples/BSF_0188_H3GKMBBXX_6#CLL_ATAC_seq_4747_1_5_64839_ATAC36_6.bam
CLL_ATAC-seq_4784_1-5-52817_ATAC17-6_2_hg19,CLL,,ATAC-seq,,4784,1-5-52817,,ATAC17-6,2,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_3_samples/BSF_0178_H322GBBXX_3#CLL_ATAC_seq_4784_1_5_52817_ATAC17_6.bam
CLL_ATAC-seq_4784_1-5-52834_ATAC32-12_hg19,CLL,,ATAC-seq,,4784,1-5-52834,,ATAC32-12,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_4784_1_5_52834_ATAC32_12.bam
CLL_ATAC-seq_4802_1-5-39590_ATAC32-2_hg19,CLL,,ATAC-seq,,4802,1-5-39590,,ATAC32-2,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_4802_1_5_39590_ATAC32_2.bam
CLL_ATAC-seq_4851_1-5-45960_ATAC29-6_hg19,CLL,,ATAC-seq,,4851,1-5-45960,,ATAC29-6,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_4851_1_5_45960_ATAC29_6.bam
CLL_ATAC-seq_4963_1-5-37169_ATAC27-3_hg19,CLL,,ATAC-seq,,4963,1-5-37169,,ATAC27-3,,hg19,/scratch/lab_bsf/samples/BSF_0162_H2TCFBBXX/BSF_0162_H2TCFBBXX_2_samples/BSF_0162_H2TCFBBXX_2#CLL_ATAC_seq_4963_1_5_37169_ATAC27_3.bam
CLL_ATAC-seq_4989_1-5-54251_ATAC29-25_hg19,CLL,,ATAC-seq,,4989,1-5-54251,,ATAC29-25,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_4989_1_5_54251_ATAC29_25.bam
CLL_ATAC-seq_5019_1-5-39146_ATAC29-21_hg19,CLL,,ATAC-seq,,5019,1-5-39146,,ATAC29-21,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_4_samples/BSF_0168_H2VNJBBXX_4#CLL_ATAC_seq_5019_1_5_39146_ATAC29_21.bam
CLL_ATAC-seq_5044_1-5-42061_ATAC32-4_hg19,CLL,,ATAC-seq,,5044,1-5-42061,,ATAC32-4,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_5044_1_5_42061_ATAC32_4.bam
CLL_ATAC-seq_5048_1-5-41821_ATAC29-23_hg19,CLL,,ATAC-seq,,5048,1-5-41821,,ATAC29-23,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_5048_1_5_41821_ATAC29_23.bam
CLL_ATAC-seq_5129_1-5-52010_ATAC30-6_hg19,CLL,,ATAC-seq,,5129,1-5-52010,,ATAC30-6,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_3_samples/BSF_0168_H2VNJBBXX_3#CLL_ATAC_seq_5129_1_5_52010_ATAC30_6.bam
CLL_ATAC-seq_5147_1-5-48105_ATAC17-2_2_hg19,CLL,,ATAC-seq,,5147,1-5-48105,,ATAC17-2,2,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_3_samples/BSF_0178_H322GBBXX_3#CLL_ATAC_seq_5147_1_5_48105_ATAC17_2.bam
CLL_ATAC-seq_5170_1-5-55531_ATAC29-1_hg19,CLL,,ATAC-seq,,5170,1-5-55531,,ATAC29-1,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_5170_1_5_55531_ATAC29_1.bam
CLL_ATAC-seq_5186_1-5-57350_ATAC17-4_hg19,CLL,,ATAC-seq,,5186,1-5-57350,,ATAC17-4,,hg19,/scratch/lab_bsf/samples/BSF_0130_C5HM6ACXX/BSF_0130_C5HM6ACXX_8_samples/BSF_0130_C5HM6ACXX_8#ATAC17_4_CLL_1_5_57350.bam
CLL_ATAC-seq_5186_1-5-57350_ATAC17-4_hg19,CLL,,ATAC-seq,,5186,1-5-57350,,ATAC17-4,,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_2_samples/BSF_0178_H322GBBXX_2#CLL_ATAC_seq_5186_1_5_57350_ATAC17_4.bam
CLL_ATAC-seq_5199_1-5-50525_ATAC29-7_hg19,CLL,,ATAC-seq,,5199,1-5-50525,,ATAC29-7,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_1_samples/BSF_0168_H2VNJBBXX_1#CLL_ATAC_seq_5199_1_5_50525_ATAC29_7.bam
CLL_ATAC-seq_5204_1-5-58365_ATAC27-1_hg19,CLL,,ATAC-seq,,5204,1-5-58365,,ATAC27-1,,hg19,/scratch/lab_bsf/samples/BSF_0162_H2TCFBBXX/BSF_0162_H2TCFBBXX_2_samples/BSF_0162_H2TCFBBXX_2#CLL_ATAC_seq_5204_1_5_58365_ATAC27_1.bam
CLL_ATAC-seq_5229_1-5-54145_ATAC29-22_hg19,CLL,,ATAC-seq,,5229,1-5-54145,,ATAC29-22,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_4_samples/BSF_0168_H2VNJBBXX_4#CLL_ATAC_seq_5229_1_5_54145_ATAC29_22.bam
CLL_ATAC-seq_5263_1-5-60462_ATAC30-13_hg19,CLL,,ATAC-seq,,5263,1-5-60462,,ATAC30-13,,hg19,/scratch/lab_bsf/samples/BSF_0168_H2VNJBBXX/BSF_0168_H2VNJBBXX_2_samples/BSF_0168_H2VNJBBXX_2#CLL_ATAC_seq_5263_1_5_60462_ATAC30_13.bam
CLL_ATAC-seq_5277_1-5-57269_ATAC17-8_2_hg19,CLL,,ATAC-seq,,5277,1-5-57269,,ATAC17-8,2,hg19,/scratch/lab_bsf/samples/BSF_0178_H322GBBXX/BSF_0178_H322GBBXX_3_samples/BSF_0178_H322GBBXX_3#CLL_ATAC_seq_5277_1_5_57269_ATAC17_8.bam
CLL_ATAC-seq_AKH13_M3086_ATAC40s20_hg19,CLL,,ATAC-seq,,AKH13,M3086,,ATAC40s20,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M3086_M3086_ATAC40s20.bam
CLL_ATAC-seq_AKH13_M3152_ATAC40s21_hg19,CLL,,ATAC-seq,,AKH13,M3152,,ATAC40s21,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M3152_M3152_ATAC40s21.bam
CLL_ATAC-seq_AKH13_M3427_ATAC40s22_hg19,CLL,,ATAC-seq,,AKH13,M3427,,ATAC40s22,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M3427_M3427_ATAC40s22.bam
CLL_ATAC-seq_AKH15_M4017_ATAC40s26_hg19,CLL,,ATAC-seq,,AKH15,M4017,,ATAC40s26,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4017_M4017_ATAC40s26.bam
CLL_ATAC-seq_AKH15_M4044_ATAC40s27_hg19,CLL,,ATAC-seq,,AKH15,M4044,,ATAC40s27,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4044_M4044_ATAC40s27.bam
CLL_ATAC-seq_AKH15_M4278_ATAC40s28_hg19,CLL,,ATAC-seq,,AKH15,M4278,,ATAC40s28,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4278_M4278_ATAC40s28.bam
CLL_ATAC-seq_AKH4_M4378_ATAC39s12_hg19,CLL,,ATAC-seq,,AKH4,M4378,,ATAC39s12,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4378_M4378_ATAC39s12.bam
CLL_ATAC-seq_AKH4_M4521_ATAC39s13_hg19,CLL,,ATAC-seq,,AKH4,M4521,,ATAC39s13,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4521_M4521_ATAC39s13.bam
CLL_ATAC-seq_AKH4_M4552_ATAC39s14_hg19,CLL,,ATAC-seq,,AKH4,M4552,,ATAC39s14,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4552_M4552_ATAC39s14.bam
CLL_ATAC-seq_AKH3_M4683_ATAC39s9_hg19,CLL,,ATAC-seq,,AKH3,M4683,,ATAC39s9,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4683_M4683_ATAC39s9.bam
CLL_ATAC-seq_AKH12_M4684_ATAC40s16_hg19,CLL,,ATAC-seq,,AKH12,M4684,,ATAC40s16,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4684_M4684_ATAC40s16.bam
CLL_ATAC-seq_AKH7_M4685_ATAC40s6_hg19,CLL,,ATAC-seq,,AKH7,M4685,,ATAC40s6,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4685_M4685_ATAC40s6.bam
CLL_ATAC-seq_AKH2_M4687_ATAC39s7_hg19,CLL,,ATAC-seq,,AKH2,M4687,,ATAC39s7,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4687_M4687_ATAC39s7.bam
CLL_ATAC-seq_AKH12_M4688_ATAC40s17_hg19,CLL,,ATAC-seq,,AKH12,M4688,,ATAC40s17,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4688_M4688_ATAC40s17.bam
CLL_ATAC-seq_AKH11_M4691_ATAC40s13_hg19,CLL,,ATAC-seq,,AKH11,M4691,,ATAC40s13,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4691_M4691_ATAC40s13.bam
CLL_ATAC-seq_AKH13_M4692_ATAC40s18_hg19,CLL,,ATAC-seq,,AKH13,M4692,,ATAC40s18,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4692_M4692_ATAC40s18.bam
CLL_ATAC-seq_AKH1_M4693_ATAC39s1_hg19,CLL,,ATAC-seq,,AKH1,M4693,,ATAC39s1,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4693_M4693_ATAC39s1.bam
CLL_ATAC-seq_AKH13_M4694_ATAC40s19_hg19,CLL,,ATAC-seq,,AKH13,M4694,,ATAC40s19,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4694_M4694_ATAC40s19.bam
CLL_ATAC-seq_AKH11_M4696_ATAC40s14_hg19,CLL,,ATAC-seq,,AKH11,M4696,,ATAC40s14,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4696_M4696_ATAC40s14.bam
CLL_ATAC-seq_AKH1_M4699_ATAC39s2_hg19,CLL,,ATAC-seq,,AKH1,M4699,,ATAC39s2,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4699_M4699_ATAC39s2.bam
CLL_ATAC-seq_AKH5_M4702_ATAC40s1_hg19,CLL,,ATAC-seq,,AKH5,M4702,,ATAC40s1,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4702_M4702_ATAC40s1.bam
CLL_ATAC-seq_AKH14_M4703_ATAC40s23_hg19,CLL,,ATAC-seq,,AKH14,M4703,,ATAC40s23,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4703_M4703_ATAC40s23.bam
CLL_ATAC-seq_AKH8_M4704_ATAC40s7_hg19,CLL,,ATAC-seq,,AKH8,M4704,,ATAC40s7,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4704_M4704_ATAC40s7.bam
CLL_ATAC-seq_AKH10_M4705_ATAC40s11_hg19,CLL,,ATAC-seq,,AKH10,M4705,,ATAC40s11,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4705_M4705_ATAC40s11.bam
CLL_ATAC-seq_AKH5_M4706_ATAC40s2_hg19,CLL,,ATAC-seq,,AKH5,M4706,,ATAC40s2,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4706_M4706_ATAC40s2.bam
CLL_ATAC-seq_AKH8_M4708_ATAC40s8_hg19,CLL,,ATAC-seq,,AKH8,M4708,,ATAC40s8,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4708_M4708_ATAC40s8.bam
CLL_ATAC-seq_AKH4_M4709_ATAC39s10_hg19,CLL,,ATAC-seq,,AKH4,M4709,,ATAC39s10,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4709_M4709_ATAC39s10.bam
CLL_ATAC-seq_AKH10_M4710_ATAC40s12_hg19,CLL,,ATAC-seq,,AKH10,M4710,,ATAC40s12,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4710_M4710_ATAC40s12.bam
CLL_ATAC-seq_AKH1_M4713_ATAC39s3_hg19,CLL,,ATAC-seq,,AKH1,M4713,,ATAC39s3,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4713_M4713_ATAC39s3.bam
CLL_ATAC-seq_AKH9_M4714_ATAC40s9_hg19,CLL,,ATAC-seq,,AKH9,M4714,,ATAC40s9,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4714_M4714_ATAC40s9.bam
CLL_ATAC-seq_AKH9_M4715_ATAC40s10_hg19,CLL,,ATAC-seq,,AKH9,M4715,,ATAC40s10,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4715_M4715_ATAC40s10.bam
CLL_ATAC-seq_AKH6_M4716_ATAC40s3_hg19,CLL,,ATAC-seq,,AKH6,M4716,,ATAC40s3,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4716_M4716_ATAC40s3.bam
CLL_ATAC-seq_AKH4_M4722_ATAC39s11_hg19,CLL,,ATAC-seq,,AKH4,M4722,,ATAC39s11,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4722_M4722_ATAC39s11.bam
CLL_ATAC-seq_AKH6_M4726_ATAC40s4_hg19,CLL,,ATAC-seq,,AKH6,M4726,,ATAC40s4,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4726_M4726_ATAC40s4.bam
CLL_ATAC-seq_AKH1_M4727_ATAC39s4_hg19,CLL,,ATAC-seq,,AKH1,M4727,,ATAC39s4,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4727_M4727_ATAC39s4.bam
CLL_ATAC-seq_AKH11_M4728_ATAC40s15_hg19,CLL,,ATAC-seq,,AKH11,M4728,,ATAC40s15,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_7_samples/BSF_0197_H5JTNBBXX_7#CLL_ATACseq_M4728_M4728_ATAC40s15.bam
CLL_ATAC-seq_AKH1_M4731_ATAC39s5_hg19,CLL,,ATAC-seq,,AKH1,M4731,,ATAC39s5,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4731_M4731_ATAC39s5.bam
CLL_ATAC-seq_AKH2_M4732_ATAC39s6_hg19,CLL,,ATAC-seq,,AKH2,M4732,,ATAC39s6,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4732_M4732_ATAC39s6.bam
CLL_ATAC-seq_AKH3_M4733_ATAC39s8_hg19,CLL,,ATAC-seq,,AKH3,M4733,,ATAC39s8,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_2_samples/BSF_0197_H5JTNBBXX_2#CLL_ATACseq_M4733_M4733_ATAC39s8.bam
CLL_ATAC-seq_AKH7_M4734_ATAC40s5_hg19,CLL,,ATAC-seq,,AKH7,M4734,,ATAC40s5,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_6_samples/BSF_0197_H5JTNBBXX_6#CLL_ATACseq_M4734_M4734_ATAC40s5.bam
CLL_CM_H3K27ac_606_1-5-3873_CM36s17_2_hg19,CLL,,CM,H3K27ac,3873,1-5-606,,CM36s17,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K27ac_CLL_3873_1_5_606_CM_CM36_17.bam
CLL_CM_H3K27ac_606_1-5-3873_CM36-17_1_hg19,CLL,,CM,H3K27ac,3873,1-5-606,,CM36-17,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27ac_CLL_3873_1_5_606_CM_CM36_17.bam
CLL_CM_H3K27ac_1614_1-5-1781_CM36s21_2_hg19,CLL,,CM,H3K27ac,1781,1-5-1614,,CM36s21,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K27ac_CLL_1781_1_5_1614_CM_CM36_21.bam
CLL_CM_H3K27ac_1614_1-5-1781_CM36-21_1_hg19,CLL,,CM,H3K27ac,1781,1-5-1614,,CM36-21,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27ac_CLL_1781_1_5_1614_CM_CM36_21.bam
CLL_CM_H3K27ac_20335_1-5-2938_CM36-5_1_hg19,CLL,,CM,H3K27ac,2938,1-5-20335,,CM36-5,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27ac_CLL_2938_1_5_20335_CM_CM36_5.bam
CLL_CM_H3K27ac_27302_1-5-4080_CM37s9_hg19,CLL,,CM,H3K27ac,4080,1-5-27302,,CM37s9,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27ac_4080_1_5_27302_CM37s9.bam
CLL_CM_H3K27ac_29612_1-5-2132_CM36-13_1_hg19,CLL,,CM,H3K27ac,2132,1-5-29612,,CM36-13,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27ac_CLL_2132_1_5_29612_CM_CM36_13.bam
CLL_CM_H3K27ac_30597_1-5-3215_CM37s17_hg19,CLL,,CM,H3K27ac,3215,1-5-30597,,CM37s17,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27ac_3215_1_5_30597_CM37s17.bam
CLL_CM_H3K27ac_33070_1-5-1125_CM36-9_1_hg19,CLL,,CM,H3K27ac,1125,1-5-33070,,CM36-9,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27ac_CLL_1125_1_5_33070_CM_CM36_9.bam
CLL_CM_H3K27ac_34053_1-5-2459_CM37s21_hg19,CLL,,CM,H3K27ac,2459,1-5-34053,,CM37s21,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27ac_2459_1_5_34053_CM37s21.bam
CLL_CM_H3K27ac_47651_1-5-3240_CM37s1_hg19,CLL,,CM,H3K27ac,3240,1-5-47651,,CM37s1,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27ac_3240_1_5_47651_CM37s1.bam
CLL_CM_H3K27ac_48773_1-5-4189_CM37s5_hg19,CLL,,CM,H3K27ac,4189,1-5-48773,,CM37s5,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27ac_4189_1_5_48773_CM37s5.bam
CLL_CM_H3K27ac_52817_1-5-4784_CM37s13_hg19,CLL,,CM,H3K27ac,4784,1-5-52817,,CM37s13,,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_1_samples/BSF_0197_H5JTNBBXX_1#CLL_CM_H3K27ac_4784_1_5_52817_CM37s13.bam
CLL_CM_H3K27ac_60426_1-5-5263_CM36s1_2_hg19,CLL,,CM,H3K27ac,5263,1-5-60426,,CM36s1,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K27ac_CLL_5263_1_5_60426_CM_CM36_1.bam
CLL_CM_H3K27ac_60426_1-5-5263_CM36-1_1_hg19,CLL,,CM,H3K27ac,5263,1-5-60426,,CM36-1,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27ac_CLL_5263_1_5_60426_CM_CM36_1.bam
CLL_CM_H3K27me3_606_1-5-3873_CM36s19_2_hg19,CLL,,CM,H3K27me3,3873,1-5-606,,CM36s19,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K27me3_CLL_3873_1_5_606_CM_CM36_19.bam
CLL_CM_H3K27me3_606_1-5-3873_CM36-19_1_hg19,CLL,,CM,H3K27me3,3873,1-5-606,,CM36-19,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27me3_CLL_3873_1_5_606_CM_CM36_19.bam
CLL_CM_H3K27me3_1614_1-5-1781_CM36s23_2_hg19,CLL,,CM,H3K27me3,1781,1-5-1614,,CM36s23,2,hg19,/scratch/lab_bsf/samples/BSF_0197_H5JTNBBXX/BSF_0197_H5JTNBBXX_3_samples/BSF_0197_H5JTNBBXX_3#H3K27me3_CLL_1781_1_5_1614_CM_CM36_23.bam
CLL_CM_H3K27me3_1614_1-5-1781_CM36-23_1_hg19,CLL,,CM,H3K27me3,1781,1-5-1614,,CM36-23,1,hg19,/scratch/lab_bsf/samples/BSF_0188_H3GKMBBXX/BSF_0188_H3GKMBBXX_8_samples/BSF_0188_H3GKMBBXX_8#H3K27me3_CLL_1781_1_5_1614_CM_CM36_23.bam
